l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
128,2,OFF,2,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.058182
32,8,OFF,2,DDR4_2400_4x16,TaggedPrefetcher,64,0.151381
128,2,OFF,2,DDR3_2133_8x8,None,64,0.102286
512,16,OFF,16,DDR3_2133_8x8,None,64,0.031601
256,16,OFF,8,DDR4_2400_4x16,TaggedPrefetcher,128,0.031774
256,1,OFF,2,DDR4_2400_16x4,None,64,0.072490
128,8,OFF,4,DDR3_1600_8x8,AMPMPrefetcher,64,0.102985
32,1,ON,8,DDR3_1600_8x8,BOPPrefetcher,128,0.060465
128,2,OFF,4,DDR4_2400_16x4,TaggedPrefetcher,64,0.094968
256,2,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,128,0.047485
256,2,OFF,8,DDR4_2400_16x4,AMPMPrefetcher,32,0.056302
512,2,OFF,8,DDR3_2133_8x8,None,128,0.032296
32,1,ON,4,DDR4_2400_16x4,BOPPrefetcher,128,0.059854
512,4,ON,2,DDR3_2133_8x8,AMPMPrefetcher,32,0.032449
256,1,OFF,2,DDR4_2400_4x16,BOPPrefetcher,32,0.091466
128,8,ON,4,DDR4_2400_8x8,AMPMPrefetcher,32,0.041983
512,4,OFF,8,DDR3_1600_8x8,AMPMPrefetcher,64,0.031636
256,16,ON,2,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.032782
128,2,OFF,2,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.061836
64,1,OFF,8,DDR3_1600_8x8,TaggedPrefetcher,64,0.142440
512,16,ON,2,DDR4_2400_16x4,None,32,0.032335
128,16,ON,4,DDR4_2400_4x16,AMPMPrefetcher,32,0.040397
256,2,ON,2,DDR4_2400_16x4,BOPPrefetcher,64,0.042219
32,4,OFF,16,DDR4_2400_4x16,TaggedPrefetcher,32,0.152178
256,16,OFF,16,DDR4_2400_16x4,TaggedPrefetcher,64,0.031726
512,8,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,128,0.031963
32,1,ON,1,DDR4_2400_8x8,BOPPrefetcher,128,0.062405
64,8,ON,2,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.043907
32,8,OFF,8,DDR3_1600_8x8,None,32,0.153294
64,8,OFF,1,DDR3_1600_8x8,TaggedPrefetcher,64,0.151220
64,8,OFF,16,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.103705
32,16,OFF,4,DDR3_1600_8x8,AMPMPrefetcher,64,0.155275
32,8,ON,1,DDR3_2133_8x8,AMPMPrefetcher,32,0.059230
128,1,OFF,16,DDR4_2400_16x4,TaggedPrefetcher,128,0.107880
512,1,OFF,8,DDR3_1600_8x8,TaggedPrefetcher,128,0.042124
32,16,ON,8,DDR4_2400_4x16,AMPMPrefetcher,64,0.060116
128,16,OFF,16,DDR4_2400_16x4,None,64,0.101637
512,2,OFF,16,DDR4_2400_4x16,None,64,0.043860
64,2,OFF,4,DDR3_2133_8x8,BOPPrefetcher,64,0.140398
256,2,ON,2,DDR4_2400_4x16,None,128,0.037693
32,16,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.047194
128,4,ON,2,DDR3_1600_8x8,TaggedPrefetcher,128,0.044475
512,4,OFF,4,DDR3_2133_8x8,TaggedPrefetcher,128,0.031943
256,8,ON,2,DDR4_2400_4x16,TaggedPrefetcher,64,0.032667
256,16,ON,8,DDR4_2400_8x8,None,32,0.032706
128,8,ON,2,DDR4_2400_4x16,AMPMPrefetcher,128,0.041853
256,8,ON,4,DDR3_2133_8x8,AMPMPrefetcher,32,0.032490
32,8,OFF,8,DDR4_2400_16x4,TaggedPrefetcher,128,0.171683
256,2,ON,16,DDR4_2400_16x4,AMPMPrefetcher,64,0.037976
512,1,OFF,16,DDR4_2400_4x16,None,32,0.049477
256,16,OFF,16,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.031801
512,8,ON,8,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.032366
32,2,ON,16,DDR3_2133_8x8,AMPMPrefetcher,64,0.060582
32,16,ON,8,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.046412
512,16,OFF,4,DDR4_2400_16x4,AMPMPrefetcher,32,0.031734
64,16,OFF,2,DDR3_2133_8x8,None,128,0.155272
128,16,OFF,8,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.059258
512,16,OFF,2,DDR4_2400_4x16,TaggedPrefetcher,32,0.031724
256,16,ON,2,DDR4_2400_16x4,AMPMPrefetcher,128,0.032765
512,16,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,128,0.031843
32,1,ON,16,DDR3_1600_8x8,None,32,0.059730
128,1,ON,2,DDR4_2400_8x8,None,64,0.046152
256,4,ON,4,DDR3_1600_8x8,None,64,0.032791
64,4,OFF,2,DDR4_2400_4x16,BOPPrefetcher,128,0.158567
64,2,ON,8,DDR4_2400_16x4,BOPPrefetcher,128,0.056128
32,4,OFF,2,DDR3_1600_8x8,AMPMPrefetcher,64,0.155609
128,1,OFF,8,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.072601
32,1,ON,2,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.048032
512,1,OFF,8,DDR4_2400_4x16,AMPMPrefetcher,64,0.041339
32,16,ON,8,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.045539
128,16,OFF,16,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.077738
512,1,ON,1,DDR4_2400_4x16,AMPMPrefetcher,128,0.036441
128,8,ON,4,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.037780
512,8,OFF,1,DDR3_2133_8x8,AMPMPrefetcher,64,0.031738
32,2,OFF,8,DDR4_2400_8x8,None,32,0.151495
32,16,OFF,16,DDR4_2400_4x16,BOPPrefetcher,128,0.158027
512,2,ON,1,DDR4_2400_8x8,TaggedPrefetcher,128,0.032758
32,4,ON,16,DDR4_2400_8x8,TaggedPrefetcher,64,0.060223
128,4,OFF,16,DDR3_1600_8x8,TaggedPrefetcher,128,0.099799
128,16,ON,2,DDR3_2133_8x8,None,32,0.046800
128,16,ON,4,DDR4_2400_4x16,TaggedPrefetcher,64,0.049853
256,2,ON,8,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.037573
64,1,ON,16,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.046917
512,2,ON,16,DDR3_2133_8x8,AMPMPrefetcher,64,0.032916
512,4,OFF,8,DDR4_2400_16x4,AMPMPrefetcher,32,0.031839
256,1,ON,2,DDR4_2400_8x8,TaggedPrefetcher,32,0.049205
32,2,OFF,1,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.110258
128,4,OFF,16,DDR4_2400_8x8,AMPMPrefetcher,32,0.082121
64,16,ON,4,DDR3_1600_8x8,BOPPrefetcher,128,0.057478
32,2,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,128,0.164078
128,16,ON,1,DDR3_2133_8x8,TaggedPrefetcher,128,0.051336
256,1,ON,1,DDR4_2400_4x16,AMPMPrefetcher,64,0.038099
64,2,ON,1,DDR4_2400_4x16,TaggedPrefetcher,128,0.060376
64,1,ON,2,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.045554
64,4,ON,2,DDR4_2400_8x8,BOPPrefetcher,64,0.058026
32,2,OFF,2,DDR4_2400_8x8,BOPPrefetcher,64,0.149954
512,4,ON,1,DDR4_2400_16x4,AMPMPrefetcher,32,0.032433
256,1,ON,2,DDR4_2400_4x16,BOPPrefetcher,64,0.040857
64,8,ON,16,DDR4_2400_8x8,BOPPrefetcher,64,0.058102
256,2,OFF,16,DDR3_2133_8x8,AMPMPrefetcher,64,0.045441
32,2,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,64,0.159590
128,1,ON,2,DDR4_2400_4x16,AMPMPrefetcher,128,0.047512
256,4,ON,16,DDR4_2400_4x16,None,32,0.033071
128,8,OFF,2,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.071812
128,1,ON,8,DDR3_1600_8x8,None,64,0.045497
128,1,ON,4,DDR4_2400_4x16,TaggedPrefetcher,64,0.046419
256,8,ON,2,DDR3_2133_8x8,TaggedPrefetcher,32,0.032445
32,8,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,64,0.147045
512,8,ON,4,DDR4_2400_8x8,BOPPrefetcher,64,0.032509
64,1,OFF,16,DDR3_1600_8x8,BOPPrefetcher,64,0.134237
64,2,ON,16,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.045261
512,4,ON,2,DDR4_2400_16x4,TaggedPrefetcher,128,0.032777
128,4,OFF,2,DDR4_2400_8x8,AMPMPrefetcher,64,0.097066
256,2,ON,2,DDR3_2133_8x8,BOPPrefetcher,32,0.037422
32,2,OFF,4,DDR4_2400_8x8,None,64,0.150441
256,2,ON,2,DDR4_2400_4x16,AMPMPrefetcher,128,0.039593
64,4,OFF,1,DDR4_2400_16x4,None,64,0.149569
128,4,ON,16,DDR3_1600_8x8,TaggedPrefetcher,128,0.051370
32,8,ON,1,DDR3_1600_8x8,BOPPrefetcher,32,0.057657
256,16,ON,2,DDR3_1600_8x8,TaggedPrefetcher,64,0.032686
128,2,OFF,16,DDR4_2400_16x4,BOPPrefetcher,32,0.099621
32,8,OFF,16,DDR3_2133_8x8,BOPPrefetcher,128,0.149737
32,1,ON,16,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.047965
32,8,ON,2,DDR4_2400_8x8,AMPMPrefetcher,32,0.059076
128,1,ON,8,DDR4_2400_4x16,TaggedPrefetcher,128,0.050063
512,2,OFF,16,DDR4_2400_16x4,TaggedPrefetcher,128,0.047358
