l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,algorithm,bp_type,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements,dcache_overall_misses,dcache_overall_avg_miss_latency,dram_rank0_total_energy,dram_rank0_avg_power,dram_bwWrite_total,dram_bwRead_total,dram_bwTotal_total,dram_avgMemAcc_lat
8,8,ON,1,HBM2_2000_4H_1x128,TaggedPrefetcher,64,mm,None,0.058904,41397644,0.303955,2195535,6390601,7223214,15210.977051,0,0,7285053,22112662,29397714,26760.40
64,8,OFF,2,HBM2_2000_4H_1x128,BOPPrefetcher,128,snap,LocalBP,0.783317,333383895,0.007468,907200,1013544,121474476,67172.339065,0,0,104564361,579030700,683595061,34111.11
256,16,OFF,1,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,quick,BiModeBP,0.030113,42625163,0.003216,18323,30853,5696927,48808.901381,0,0,20384319,83438143,103822462,27184.03
32,2,ON,16,HBM2_2000_4H_1x128,AMPMPrefetcher,32,snap,LocalBP,0.579717,324227166,0.022552,2648958,4958611,117460906,22139.979758,0,0,73673114,63149630,136822744,30612.91
8,4,ON,2,HBM2_2000_4H_1x128,AMPMPrefetcher,64,pen,LocalBP,0.083125,68215243,0.041975,738807,1808059,17601149,17500.566454,0,0,121291730,99645279,220937008,25274.05
8,8,OFF,1,HBM2_2000_4H_1x128,AMPMPrefetcher,64,pen,LocalBP,0.128126,68354157,0.040427,712462,1658913,17623331,57006.285247,0,0,281408787,957132313,1238541099,28106.20
8,8,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,quick,LocalBP,0.026984,42156970,0.005348,30282,48754,5661847,15066.805363,0,0,5018607,15292996,20311603,30712.49
64,4,ON,1,HBM2_2000_4H_1x128,None,128,insert,None,0.618495,497236994,0.003537,481643,481525,136159348,13526.476041,0,0,517592,1564986,2082578,30343.97
8,2,ON,4,HBM2_2000_4H_1x128,AMPMPrefetcher,32,snap,BiModeBP,0.657304,325516923,0.072249,8527622,19557135,118030630,16033.234588,0,0,65429364,58734335,124163698,28916.20
32,1,OFF,2,HBM2_2000_4H_1x128,BOPPrefetcher,64,quick,None,0.031029,42430689,0.009446,53635,62465,5678243,42575.146826,0,0,66226077,190552089,256778167,30805.22
128,8,OFF,4,HBM2_2000_4H_1x128,BOPPrefetcher,32,insert,TournamentBP,0.617404,497723250,0.000277,37749,37495,136178975,45110.320803,0,0,1259675,5014754,6274429,27484.47
4,4,ON,2,HBM2_2000_4H_1x128,AMPMPrefetcher,128,snap,LocalBP,0.678756,322272911,0.102351,11944678,23862290,116703503,15203.884985,0,0,68173821,95574148,163747969,37680.19
128,8,ON,16,HBM2_2000_4H_1x128,None,32,insert,BiModeBP,0.613116,497643173,0.000309,42090,41794,136175152,15066.642908,0,0,133560,117903,251463,24665.39
4,2,ON,2,HBM2_2000_4H_1x128,None,32,insert,BiModeBP,0.712604,497831650,0.060740,8274758,8275234,136231664,13033.315295,0,0,203468,422787,626255,24246.06
64,1,ON,16,HBM2_2000_4H_1x128,TaggedPrefetcher,32,quick,None,0.027236,42587944,0.006655,37931,77938,5699369,13611.096465,0,0,3504745,4965154,8469899,25831.90
1,8,OFF,2,HBM2_2000_4H_1x128,BOPPrefetcher,64,pen,MultiperspectivePerceptron64KB,0.249617,68741578,0.170219,3013599,3803663,17704226,53640.540098,0,0,292622118,1025361820,1317983938,30754.70
512,1,OFF,4,HBM2_2000_4H_1x128,None,32,mm,BiModeBP,0.040121,41687187,0.023450,169216,168692,7215989,59674.543187,0,0,18350844,166394852,184745696,31150.08
1,4,OFF,2,HBM2_2000_4H_1x128,BOPPrefetcher,128,snap,TournamentBP,2.188081,339358707,0.242436,30346946,35144222,125174882,45872.683383,0,0,514046993,2234896044,2748943036,33030.69
8,1,OFF,1,HBM2_2000_4H_1x128,None,32,pen,LocalBP,0.213950,69188345,0.129161,2298771,2299993,17797664,52311.176059,0,0,164375063,378333653,542708716,27570.31
