l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
64,8,OFF,1,DDR3_1600_8x8,AMPMPrefetcher,64,0.154760
32,16,OFF,8,DDR3_2133_8x8,None,128,0.152836
128,8,OFF,8,DDR4_2400_8x8,AMPMPrefetcher,128,0.112507
32,16,ON,16,DDR3_1600_8x8,AMPMPrefetcher,128,0.063416
32,4,ON,2,DDR4_2400_4x16,TaggedPrefetcher,32,0.058955
64,2,ON,4,DDR4_2400_16x4,AMPMPrefetcher,32,0.058854
64,8,ON,16,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.044617
256,8,OFF,1,DDR4_2400_4x16,AMPMPrefetcher,64,0.031644
64,8,ON,2,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.046038
256,8,OFF,8,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.031764
256,4,ON,2,DDR3_1600_8x8,BOPPrefetcher,64,0.032576
256,4,ON,8,DDR4_2400_16x4,AMPMPrefetcher,128,0.032943
32,8,ON,1,DDR4_2400_4x16,AMPMPrefetcher,128,0.063217
512,8,ON,2,DDR4_2400_8x8,BOPPrefetcher,64,0.032607
64,16,OFF,2,DDR3_1600_8x8,AMPMPrefetcher,32,0.153922
128,8,ON,4,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.038278
512,4,ON,4,DDR4_2400_16x4,TaggedPrefetcher,64,0.032749
512,1,OFF,16,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.032676
32,8,OFF,8,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.124878
256,8,OFF,16,DDR4_2400_4x16,TaggedPrefetcher,32,0.032429
64,8,OFF,1,DDR4_2400_8x8,AMPMPrefetcher,64,0.149950
64,2,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.045737
128,16,OFF,2,DDR3_2133_8x8,None,64,0.097823
256,16,OFF,1,DDR3_2133_8x8,AMPMPrefetcher,32,0.032361
128,2,ON,4,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.039659
512,1,OFF,8,DDR4_2400_4x16,TaggedPrefetcher,32,0.048217
32,1,ON,8,DDR3_1600_8x8,None,64,0.060465
512,2,ON,16,DDR4_2400_8x8,None,64,0.032515
512,2,ON,4,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.034019
256,2,ON,1,DDR4_2400_4x16,BOPPrefetcher,64,0.037512
32,8,ON,2,DDR3_2133_8x8,TaggedPrefetcher,64,0.059873
64,2,ON,16,DDR4_2400_4x16,TaggedPrefetcher,128,0.060656
32,4,ON,8,DDR4_2400_8x8,None,128,0.058144
256,16,ON,1,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.032326
32,2,OFF,8,DDR4_2400_16x4,None,64,0.151063
512,2,ON,4,DDR4_2400_8x8,BOPPrefetcher,64,0.035158
128,16,ON,1,DDR4_2400_16x4,TaggedPrefetcher,32,0.038113
128,4,ON,2,DDR4_2400_16x4,None,128,0.046068
32,2,ON,2,DDR3_2133_8x8,TaggedPrefetcher,64,0.059984
512,8,ON,8,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.032803
64,8,ON,16,DDR3_1600_8x8,BOPPrefetcher,64,0.058011
128,4,OFF,2,DDR4_2400_8x8,TaggedPrefetcher,32,0.077851
64,4,ON,8,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.045253
512,16,OFF,4,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.031689
512,8,ON,8,DDR4_2400_16x4,None,64,0.032521
512,1,ON,1,DDR4_2400_8x8,BOPPrefetcher,128,0.034274
512,2,ON,2,DDR3_1600_8x8,AMPMPrefetcher,64,0.032697
512,1,ON,2,DDR4_2400_4x16,BOPPrefetcher,64,0.035937
64,4,OFF,8,DDR3_1600_8x8,AMPMPrefetcher,64,0.158705
64,8,OFF,4,DDR4_2400_16x4,BOPPrefetcher,64,0.149420
64,2,OFF,16,DDR4_2400_4x16,TaggedPrefetcher,128,0.175230
64,8,ON,8,DDR4_2400_16x4,TaggedPrefetcher,128,0.062326
128,4,ON,4,DDR4_2400_4x16,TaggedPrefetcher,64,0.051042
256,8,OFF,1,DDR4_2400_4x16,TaggedPrefetcher,64,0.031915
128,2,OFF,4,DDR3_1600_8x8,AMPMPrefetcher,64,0.083345
512,1,OFF,4,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.041273
512,8,ON,1,DDR3_2133_8x8,AMPMPrefetcher,128,0.032750
256,16,OFF,8,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.031671
256,4,OFF,16,DDR4_2400_8x8,BOPPrefetcher,64,0.032491
128,1,ON,4,DDR3_2133_8x8,AMPMPrefetcher,32,0.049896
64,4,OFF,8,DDR3_2133_8x8,AMPMPrefetcher,32,0.149761
128,8,ON,2,DDR3_1600_8x8,BOPPrefetcher,64,0.041705
64,2,ON,1,DDR4_2400_4x16,TaggedPrefetcher,64,0.060222
128,2,OFF,8,DDR4_2400_8x8,None,32,0.107469
32,1,OFF,4,DDR4_2400_8x8,TaggedPrefetcher,32,0.156862
32,8,ON,2,DDR4_2400_4x16,AMPMPrefetcher,32,0.059147
64,1,OFF,2,DDR4_2400_16x4,None,64,0.141152
256,1,OFF,16,DDR3_2133_8x8,None,64,0.087547
32,1,OFF,8,DDR3_2133_8x8,AMPMPrefetcher,64,0.156155
128,1,ON,8,DDR3_1600_8x8,BOPPrefetcher,64,0.044647
512,1,ON,16,DDR4_2400_4x16,BOPPrefetcher,128,0.040591
32,4,OFF,16,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.118725
64,1,ON,1,DDR4_2400_16x4,TaggedPrefetcher,32,0.055140
512,16,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.031813
32,2,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,64,0.151064
64,2,ON,1,DDR4_2400_4x16,None,32,0.055341
64,2,ON,2,DDR4_2400_4x16,TaggedPrefetcher,128,0.062287
128,1,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,32,0.109231
64,2,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,64,0.150990
512,4,ON,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.032702
32,1,ON,8,DDR4_2400_16x4,None,64,0.060516
128,16,ON,8,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.040258
32,4,OFF,2,DDR4_2400_8x8,AMPMPrefetcher,64,0.152557
64,8,ON,8,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.046610
32,8,ON,8,DDR4_2400_4x16,TaggedPrefetcher,128,0.062351
128,2,ON,1,DDR4_2400_8x8,None,128,0.046917
64,8,ON,1,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.043970
512,2,ON,8,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.032857
64,1,OFF,4,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.101094
256,4,OFF,4,DDR4_2400_16x4,BOPPrefetcher,128,0.052858
512,16,OFF,2,DDR4_2400_4x16,None,64,0.031552
64,2,ON,2,DDR3_1600_8x8,TaggedPrefetcher,32,0.059041
128,8,OFF,8,DDR4_2400_4x16,AMPMPrefetcher,64,0.081329
64,16,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.045308
32,8,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.045631
256,2,OFF,4,DDR4_2400_4x16,None,32,0.069786
64,4,OFF,1,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.114111
512,2,OFF,8,DDR4_2400_4x16,BOPPrefetcher,32,0.034014
128,1,OFF,8,DDR3_2133_8x8,BOPPrefetcher,64,0.108418
256,1,ON,16,DDR4_2400_8x8,None,128,0.034770
256,8,OFF,1,DDR3_2133_8x8,TaggedPrefetcher,64,0.031664
256,1,OFF,8,DDR4_2400_4x16,None,128,0.078349
512,4,ON,16,DDR4_2400_8x8,None,64,0.032498
256,8,ON,2,DDR3_2133_8x8,BOPPrefetcher,64,0.032635
32,16,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,32,0.150278
32,16,ON,4,DDR4_2400_16x4,None,128,0.058130
64,8,OFF,1,DDR3_1600_8x8,None,32,0.152413
256,8,ON,16,DDR4_2400_8x8,None,64,0.032867
128,16,OFF,8,DDR3_2133_8x8,BOPPrefetcher,128,0.059102
512,1,ON,16,DDR4_2400_16x4,None,128,0.036026
128,16,ON,4,DDR3_1600_8x8,None,128,0.038350
64,1,OFF,1,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.100878
32,2,ON,16,DDR3_2133_8x8,AMPMPrefetcher,128,0.063719
64,8,ON,1,DDR3_2133_8x8,None,32,0.057569
32,2,ON,1,DDR4_2400_8x8,BOPPrefetcher,64,0.058131
64,4,OFF,8,DDR4_2400_8x8,TaggedPrefetcher,64,0.149912
128,16,ON,1,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.039859
256,1,OFF,8,DDR4_2400_8x8,BOPPrefetcher,32,0.096367
256,4,OFF,16,DDR4_2400_16x4,AMPMPrefetcher,32,0.032970
32,2,ON,4,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.045430
256,4,ON,1,DDR3_2133_8x8,AMPMPrefetcher,32,0.032495
128,16,OFF,1,DDR4_2400_8x8,None,128,0.105900
32,4,OFF,8,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.104923
32,1,OFF,2,DDR4_2400_16x4,BOPPrefetcher,32,0.155818
64,8,OFF,4,DDR3_2133_8x8,TaggedPrefetcher,64,0.145169
32,16,ON,8,DDR4_2400_16x4,None,128,0.058188
512,1,ON,8,DDR4_2400_4x16,TaggedPrefetcher,128,0.034816
128,16,OFF,16,DDR4_2400_16x4,None,128,0.107708
512,4,ON,1,DDR3_1600_8x8,AMPMPrefetcher,64,0.032405
512,8,ON,1,DDR3_2133_8x8,BOPPrefetcher,64,0.032519
128,4,ON,2,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.039040
256,16,OFF,4,DDR3_1600_8x8,AMPMPrefetcher,32,0.032409
128,4,OFF,8,DDR4_2400_4x16,SignaturePathPrefetcher,128,0.075561
512,4,OFF,2,DDR3_1600_8x8,BOPPrefetcher,32,0.032748
128,8,OFF,1,DDR4_2400_16x4,AMPMPrefetcher,128,0.117533
32,1,OFF,16,DDR3_2133_8x8,BOPPrefetcher,128,0.155949
128,8,ON,2,DDR3_2133_8x8,TaggedPrefetcher,32,0.049285
128,1,OFF,2,DDR4_2400_4x16,None,32,0.132425
32,1,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,64,0.167997
128,16,OFF,16,DDR4_2400_8x8,BOPPrefetcher,32,0.106285
256,1,OFF,2,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.071296
512,2,ON,8,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.033834
128,4,OFF,4,DDR4_2400_16x4,BOPPrefetcher,64,0.093296
32,8,OFF,16,DDR4_2400_4x16,None,32,0.153579
64,4,OFF,8,DDR4_2400_8x8,AMPMPrefetcher,32,0.153079
32,2,ON,4,DDR4_2400_16x4,AMPMPrefetcher,64,0.060017
256,4,ON,2,DDR4_2400_8x8,None,32,0.032534
256,8,OFF,16,DDR4_2400_4x16,None,64,0.032283
64,16,ON,4,DDR3_1600_8x8,BOPPrefetcher,32,0.057980
256,8,ON,2,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.032703
512,16,ON,16,DDR4_2400_4x16,AMPMPrefetcher,128,0.032853
32,2,OFF,1,DDR4_2400_16x4,None,128,0.160830
64,2,ON,2,DDR4_2400_16x4,BOPPrefetcher,32,0.056283
32,2,OFF,4,DDR4_2400_4x16,TaggedPrefetcher,128,0.175134
64,2,ON,8,DDR3_2133_8x8,AMPMPrefetcher,32,0.058328
128,4,OFF,8,DDR3_1600_8x8,TaggedPrefetcher,32,0.061632
32,1,OFF,4,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.127681
32,4,OFF,1,DDR3_1600_8x8,BOPPrefetcher,64,0.150394
128,1,ON,16,DDR3_1600_8x8,TaggedPrefetcher,64,0.049851
512,1,OFF,16,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.041273
32,4,ON,8,DDR4_2400_16x4,TaggedPrefetcher,128,0.062363
512,16,OFF,16,DDR3_2133_8x8,AMPMPrefetcher,64,0.031737
32,8,OFF,16,DDR4_2400_8x8,None,128,0.160242
256,2,OFF,8,DDR4_2400_4x16,BOPPrefetcher,128,0.045978
256,1,ON,1,DDR4_2400_16x4,None,64,0.040613
64,16,ON,1,DDR4_2400_16x4,TaggedPrefetcher,128,0.062180
32,16,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.047194
128,2,OFF,4,DDR3_2133_8x8,BOPPrefetcher,32,0.098306
