l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements
64,8,OFF,1,DDR3_1600_8x8,AMPMPrefetcher,64,0.154760,158791849,0.310249,2158186,6507082
32,16,OFF,8,DDR3_2133_8x8,None,128,0.152836,158764574,0.308063,2142117,2139980
128,8,OFF,8,DDR4_2400_8x8,AMPMPrefetcher,128,0.112507,158815200,0.182448,1268901,1614229
32,16,ON,16,DDR3_1600_8x8,AMPMPrefetcher,128,0.063416,158194274,0.314755,2186798,8013016
32,4,ON,2,DDR4_2400_4x16,TaggedPrefetcher,32,0.058955,158182258,0.311176,2160806,6388350
64,2,ON,4,DDR4_2400_16x4,AMPMPrefetcher,32,0.058854,158227096,0.318464,2211945,10393906
64,8,ON,16,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.044617,158216597,0.147790,1025859,4018207
256,8,OFF,1,DDR4_2400_4x16,AMPMPrefetcher,64,0.031644,158714990,0.002384,16543,28906
64,8,ON,2,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.046038,158249270,0.146818,1019745,4097649
256,8,OFF,8,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.031764,158764849,0.001637,11374,16633
256,4,ON,2,DDR3_1600_8x8,BOPPrefetcher,64,0.032576,158289772,0.003628,25203,29604
256,4,ON,8,DDR4_2400_16x4,AMPMPrefetcher,128,0.032943,158202868,0.002803,19450,31887
32,8,ON,1,DDR4_2400_4x16,AMPMPrefetcher,128,0.063217,158217487,0.313506,2179495,7929352
512,8,ON,2,DDR4_2400_8x8,BOPPrefetcher,64,0.032607,158235406,0.002277,15808,15435
64,16,OFF,2,DDR3_1600_8x8,AMPMPrefetcher,32,0.153922,158783595,0.308997,2148422,6498797
128,8,ON,4,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.038278,158235659,0.066940,464921,1536562
512,4,ON,4,DDR4_2400_16x4,TaggedPrefetcher,64,0.032749,158190105,0.001662,11539,19360
