l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,algorithm,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements,dcache_overall_misses,dcache_overall_avg_miss_latency,dram_rank0_total_energy,dram_rank0_avg_power,dram_rank1_total_energy,dram_rank0_avg_power
16,4,ON,1,DDR4_2400_16x4,AMPMPrefetcher,32,quick,0.010472,34930540,0.017675,35030,79765,1981870,22446.502997,9539924403.239899,910.979974,9448221351.139095,902.223129
256,2,OFF,2,DDR3_2133_8x8,None,64,pen,0.104724,74549141,0.021850,383956,381997,17572367,46711.986530,69538896151.872528,664.022865,67587980151.721344,645.393682
4,2,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,64,quick,0.014523,35193708,0.032190,63601,142396,1975808,52558.277386,14773702086.427120,1017.248128,14514384718.881475,999.392745
128,16,OFF,16,DDR4_2400_16x4,BOPPrefetcher,128,quick,0.011475,34969075,0.005879,11572,11381,1968387,67518.363291,10942185390.393497,953.571177,10976268687.619095,956.541411
8,8,ON,8,LPDDR5_6400_1x16_8B_BL32,SignaturePathPrefetcher,64,mm,0.040746,47709618,0.154920,1117881,3862933,7215850,12947.013591,0,0,,
16,8,ON,8,DDR3_1600_8x8,None,64,mm,0.053497,47695906,0.299846,2164143,2164111,7217518,13104.133830,25027376490,467.831117,25043800830,468.138134
32,1,ON,2,LPDDR5_5500_1x16_BG_BL16,None,64,quick,0.010216,34948123,0.022923,45352,44746,1978443,19614.063327,0,0,,
1,1,OFF,4,LPDDR5_6400_1x16_8B_BL32,BOPPrefetcher,64,mm,0.255961,48922742,0.378503,2779814,3004843,7344232,81170.451152,0,0,,
512,8,OFF,1,LPDDR5_6400_1x16_BG_BL16,SignaturePathPrefetcher,128,pen,0.103904,74398207,0.004708,82663,161380,17557608,130835.676179,0,0,,
16,16,OFF,8,DDR4_2400_16x4,SignaturePathPrefetcher,32,insert,0.066901,75297154,0.004500,60968,114753,13549458,51239.240257,59766915503.267242,893.360008,58435384272.889206,873.457077
512,2,OFF,4,LPDDR5_6400_1x16_BG_BL32,TaggedPrefetcher,64,pen,0.112482,74596023,0.010431,183390,316476,17580775,91415.993238,0,0,,
8,4,OFF,4,LPDDR5_5500_1x16_BG_BL32,BOPPrefetcher,32,insert,0.101973,75137149,0.032032,430756,430884,13447887,85197.676875,0,0,,
512,1,ON,2,LPDDR5_5500_1x16_BG_BL16,None,32,snap,0.541818,317644646,0.040293,4208673,4197077,104451457,22403.174944,0,0,,
4,16,OFF,8,LPDDR5_6400_1x16_8B_BL32,None,64,pen,0.191166,74956675,0.069643,1227164,1228901,17620670,76421.002001,0,0,,
8,1,ON,2,DDR3_2133_8x8,AMPMPrefetcher,32,mm,0.060509,47808123,0.359749,2604545,9516018,7239904,13552.385157,32443156249.564568,536.172501,32503154027.572536,537.164056
1,2,ON,2,LPDDR5_6400_1x16_BG_BL16,TaggedPrefetcher,64,snap,0.832276,320601206,0.253518,26757756,65750999,105545730,14912.300718,0,0,,
64,4,OFF,4,LPDDR5_5500_1x16_8B_BL32,SignaturePathPrefetcher,128,mm,0.246956,48186238,0.279733,2051275,4572573,7332973,105542.463102,0,0,,
1,1,ON,8,DDR4_2400_4x16,BOPPrefetcher,64,mm,0.064365,47929492,0.380475,2751218,2977393,7231001,14407.500242,14272492816.026741,221.743551,,
1,8,OFF,2,LPDDR5_6400_1x16_8B_BL32,SignaturePathPrefetcher,32,mm,0.324388,48952682,0.321672,2379691,6511588,7397881,122524.357154,0,0,,
64,8,OFF,8,LPDDR5_5500_1x16_8B_BL32,None,128,snap,0.817840,326997353,0.007031,763332,761277,108560114,99314.479807,0,0,,
128,16,OFF,8,DDR3_2133_8x8,BOPPrefetcher,32,mm,0.099389,47988979,0.174647,1268423,1268136,7262782,54906.761782,67533530422.349686,679.489417,67662509842.204170,680.787145
16,4,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,64,pen,0.082239,74465110,0.026749,470169,991866,17576768,23108.822572,75847347724.479599,922.284538,75493072155.413025,917.976637
8,4,OFF,16,LPDDR5_6400_1x16_8B_BL32,TaggedPrefetcher,128,snap,1.446428,338423682,0.052973,6012825,13752531,113508354,104021.352359,0,0,,
64,1,ON,1,DDR4_2400_4x16,TaggedPrefetcher,32,insert,0.062326,75092735,0.002626,35587,74156,13552185,23336.653834,13966913264.093153,224.096016,,
2,16,ON,8,DDR4_2400_16x4,None,32,insert,0.071287,75150204,0.062516,846900,847162,13546947,13088.377612,60057484769.050186,842.478223,59990103864.197403,841.533013
1,4,OFF,1,DDR4_2400_8x8,BOPPrefetcher,32,snap,2.288153,343479347,0.285428,33001013,32936297,115619499,46157.999817,1303918088692.102295,569.856059,1365001493642.914062,596.551561
1,2,ON,2,LPDDR5_5500_1x16_BG_BL32,TaggedPrefetcher,32,pen,0.132315,75059675,0.202021,3582421,8825891,17732955,18654.056430,0,0,,
64,8,OFF,16,DDR4_2400_16x4,None,64,quick,0.012164,35018074,0.011516,22794,22668,1979264,51183.293849,11626550270.899086,955.827367,11680581097.919884,960.269281
32,2,OFF,2,DDR3_2133_8x8,TaggedPrefetcher,64,mm,0.145361,47984325,0.296247,2156669,6325465,7279977,54201.967479,115493820941.688919,794.528433,112830378822.673599,776.205543
4,16,OFF,4,LPDDR5_5500_1x16_8B_BL32,AMPMPrefetcher,32,snap,3.091336,371493688,0.137928,17637260,43393648,127872682,111368.052634,0,0,,
64,2,OFF,4,DDR4_2400_16x4,BOPPrefetcher,64,snap,0.670444,319901688,0.013856,1458190,1639583,105235637,43314.916095,675912721310.128052,1008.157462,682482025844.844238,1017.955907
8,4,OFF,1,LPDDR5_6400_1x16_BG_BL32,AMPMPrefetcher,128,pen,0.172108,74650304,0.039328,691286,1376749,17577474,110664.699560,0,0,,
4,1,OFF,4,DDR4_2400_8x8,BOPPrefetcher,64,quick,0.016871,35461327,0.058868,119997,150638,2038405,44572.864322,9380391010.132809,556.021417,8957125616.040085,530.932418
16,1,ON,4,LPDDR5_5500_1x16_8B_BL32,AMPMPrefetcher,32,quick,0.010418,34906159,0.031210,61919,131570,1983940,15919.887272,0,0,,
1,2,OFF,4,LPDDR5_6400_1x16_8B_BL32,AMPMPrefetcher,64,mm,0.370260,49256292,0.361472,2680915,7812975,7416655,126116.418460,0,0,,
256,16,OFF,4,LPDDR5_5500_1x16_BG_BL16,BOPPrefetcher,32,snap,0.881750,330549033,0.012876,1417185,1407301,110061490,32295.807887,0,0,,
32,8,ON,8,LPDDR5_6400_1x16_8B_BL32,TaggedPrefetcher,128,insert,0.061043,75005897,0.000949,12841,30873,13532412,19837.006464,0,0,,
2,1,OFF,16,DDR4_2400_4x16,BOPPrefetcher,128,pen,0.379094,75212418,0.271380,4810413,5412563,17725723,60053.120491,165967109788.054077,437.798995,,
128,8,ON,4,DDR3_2133_8x8,BOPPrefetcher,32,quick,0.009956,34929503,0.017901,35607,35308,1989131,17645.968489,5405854701.911910,542.987975,5449822101.191916,547.404255
2,8,ON,1,LPDDR5_5500_1x16_BG_BL16,AMPMPrefetcher,128,quick,0.010855,34927008,0.047470,92890,191669,1956803,17296.135214,0,0,,
16,16,ON,1,LPDDR5_6400_1x16_8B_BL32,BOPPrefetcher,64,quick,0.010280,34899946,0.015496,30380,35722,1960528,28513.742594,0,0,,
8,16,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,64,quick,0.013674,35128758,0.018243,36095,73080,1978611,61509.668929,4794859672.979530,350.643310,,
32,1,ON,16,LPDDR5_6400_1x16_BG_BL16,AMPMPrefetcher,64,snap,0.553712,317482995,0.056810,5921996,11918560,104242418,18685.675657,0,0,,
4,2,OFF,8,LPDDR5_5500_1x16_BG_BL16,BOPPrefetcher,128,snap,2.109945,350708266,0.103102,12250845,14152324,118822874,97692.781396,0,0,,
16,2,ON,4,LPDDR5_6400_1x16_BG_BL32,BOPPrefetcher,128,insert,0.061412,75021621,0.002534,34294,35800,13532451,17584.140083,0,0,,
256,4,OFF,4,DDR4_2400_8x8,BOPPrefetcher,64,mm,0.030583,47796424,0.003942,28432,28203,7212699,44040.570484,14308546711.032154,467.862624,14364090846.487352,469.678813
512,8,ON,1,DDR3_2133_8x8,BOPPrefetcher,64,snap,0.470020,315571229,0.005234,541323,574432,103421904,43145.128694,261360362660.492462,556.062461,261622977544.604736,556.621192
8,16,ON,16,LPDDR5_5500_1x16_8B_BL32,None,128,pen,0.083731,74252170,0.035892,630096,631817,17555570,23836.928024,0,0,,
8,4,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,64,pen,0.125381,74692747,0.037827,664721,1536582,17572641,56371.797341,133391162999.673904,1063.882827,135481907391.264023,1080.557898
32,2,OFF,8,DDR4_2400_8x8,BOPPrefetcher,128,quick,0.012213,35019397,0.010334,20289,24989,1963391,69443.294396,6303831808.259966,516.153337,6285800231.776749,514.676924
2,16,OFF,4,LPDDR5_6400_1x16_8B_BL32,None,128,mm,0.232761,48515682,0.319830,2342712,2343177,7324872,86509.115290,0,0,,
512,8,ON,1,LPDDR5_5500_1x16_BG_BL32,BOPPrefetcher,32,quick,0.010316,34977506,0.005577,11069,10548,1984826,44868.145271,0,0,,
64,4,ON,8,DDR4_2400_16x4,BOPPrefetcher,32,mm,0.054016,47774773,0.301705,2185085,2184884,7242457,13178.599917,45777266797.989243,847.469140,45660447296.488434,845.306474
128,4,OFF,16,DDR4_2400_4x16,BOPPrefetcher,128,insert,0.063598,75157793,0.000821,11113,12396,13533434,74474.489337,15069404609.752258,236.946900,,
4,8,OFF,4,DDR4_2400_16x4,TaggedPrefetcher,32,snap,1.330620,337110508,0.098793,11157650,23622979,112939665,52545.158792,1426786670450.605469,1072.271866,1472762978552.220947,1106.824405
4,8,ON,4,DDR4_2400_4x16,None,32,pen,0.102488,74918054,0.117057,2072132,2073967,17701968,16294.833775,25877303420.943562,252.491042,,
32,16,OFF,8,DDR4_2400_8x8,None,128,pen,0.111397,74361668,0.022597,396808,395983,17560429,66910.067337,63657553875.165199,571.447409,64609716579.676750,579.994877
32,16,OFF,16,LPDDR5_5500_1x16_BG_BL32,None,32,quick,0.017324,35511818,0.022330,45512,45450,2038147,72895.763755,0,0,,
8,8,OFF,8,DDR3_2133_8x8,AMPMPrefetcher,128,snap,1.022100,326658328,0.052129,5650235,10880968,108390071,66111.956582,763313529331.924316,746.809349,790105801660.710693,773.022325
1,1,ON,4,DDR4_2400_8x8,TaggedPrefetcher,32,mm,0.062260,47895761,0.365855,2652395,7600975,7249854,14118.761156,26599644728.460159,427.238205,26547091518.156235,426.394106
64,4,ON,16,LPDDR5_6400_1x16_BG_BL16,TaggedPrefetcher,128,pen,0.075851,74224849,0.010214,179221,398156,17546684,37400.427405,0,0,,
2,4,OFF,2,DDR4_2400_16x4,SignaturePathPrefetcher,128,mm,0.180781,48286510,0.321790,2346960,6875064,7293462,64905.468564,205552593748.924164,1137.026654,229315527028.022156,1268.472762
256,2,ON,4,LPDDR5_5500_1x16_BG_BL16,None,128,mm,0.028064,47670846,0.003247,23400,23048,7207263,35559.209402,0,0,,
16,16,ON,1,DDR3_2133_8x8,BOPPrefetcher,32,insert,0.063234,75123893,0.007549,102287,102273,13550016,18022.392875,33872606915.621193,535.671699,33862033378.157192,535.504486
512,16,OFF,1,DDR3_2133_8x8,None,128,mm,0.029721,47762634,0.001267,9143,8690,7216485,62807.010828,16837902841.703245,566.533817,16990344740.711258,571.662929
128,8,ON,2,LPDDR5_6400_1x16_BG_BL16,AMPMPrefetcher,64,mm,0.036806,47672301,0.096294,694497,1155877,7212252,14310.985505,0,0,,
2,2,ON,8,LPDDR5_6400_1x16_BG_BL16,None,32,pen,0.112599,74980115,0.156182,2766127,2767772,17710938,15940.465857,0,0,,
256,1,ON,2,LPDDR5_6400_1x16_BG_BL16,None,128,insert,0.061347,75066588,0.000914,12381,12165,13542686,31089.007350,0,0,,
1,8,OFF,8,LPDDR5_5500_1x16_BG_BL32,TaggedPrefetcher,128,mm,0.371630,49352818,0.335218,2485838,7116689,7415579,136440.978857,0,0,,
32,8,OFF,1,LPDDR5_6400_1x16_BG_BL32,BOPPrefetcher,32,quick,0.017154,35462445,0.022455,45924,45871,2045127,69555.602735,0,0,,
128,1,OFF,1,DDR4_2400_16x4,None,128,quick,0.011764,34970690,0.007628,15018,14865,1968881,66539.752297,11305181453.865486,960.976354,11310385191.537483,961.418689
1,16,ON,1,DDR4_2400_16x4,TaggedPrefetcher,64,insert,0.068033,75189411,0.039960,541330,782002,13546748,13523.253838,57853729479.908226,850.382731,57753183822.265030,848.904826
32,2,OFF,16,LPDDR5_5500_1x16_BG_BL16,TaggedPrefetcher,64,pen,0.146685,74800060,0.024676,434266,936608,17598769,107082.761487,0,0,,
